review	rating
هذا الفندق ينقصه بعض الاشياء داخل الغرف مثلا عدم وضوح القنوات التلفزيونية وجود اعطال في الحمامات ولا تستطيع وضع الملابس داخل الحمام الا على المغسلة وليس به وجبة افطار صباحية اما موقعه فهو جيد وقريب على اماكن التسوق وقريب جدا من المطار	2
لطيف ولكن الغرف الفندقية تحتاج صيانة كادر الخدمة يجب ان يكون بالمستوى المطلوب	4
مكان جميل جدا وحسن الخلق والضيافه	5
بحاجة الى اعادة تأهيل للمفروشات	3
فندق ممتاز ومعاملة راقية جدا	5
فندق ممتاز ومعاملة راقية جدا	4
رائع وجميل	5
ممتع ..مسلي .. مريح	5
انه جميل وراقي 😙😙😙😍😍❤❤	5
مكان جيد وقريب من الخدمات	3
مكان بعيد عن مركز المدينه . الخدمه ممتازة الوافاي ممتاز الغرف جميله لكن الافطار مش جيد	4
هو فندق كبير، وذو غرف كبيرة واسعة، وقريب جدا من مطار رفيق الحريري الدولي، ويمتاز بديكوراته الجميلة وخدمته التي تعد ٤ نجوم، واجمل شيء أن سعره مناسب	4
المكان غير جيد	1
فندق جيد	3
ممتاز وجميل	5
هذا المكان كبير وضخم متعدد الدرجات وأسعاره مناسبة ينقصه القليل من التنظيم.	3
اوتيل وصاﻻت اعراس ونادي رياضي على طريق المطار	4
جيد	4
رائع	5
واسع و مريح و جميل	4
فندق سيء المعاملة جدا سيئة التبريد سيء لا انصح أحدا بالإقامة فيه	3
لا بأس	2
هادء جميل جداً	5
في غرفة؟	1
جديد	5
ماء الفندق مالح غير عذب .. كذلك خدمة الانترنيت سيئة جدا .. وجبات الفطور سيئه .. وكذلك تعاملهم سيئ غير مؤدب ..	1
مميز جدا	5
عادي جدا	3
قريب من المطار	3
جيد	4
لابأس	3
المكان جيد و لكن الأسعار إلى حد ما مبالغ بها	4
مناظر خلابه واكل مميز ولذيذ واسعار مناسبة	4
طعام لذيذ نظيف كريم و ديكور جميل جدا	5
المكان جميل ومنسق والخدمة جيدة	5
مكان هادئ بالرغم من وجوده وسط الفوضى والتلوث البيئي	3
القعدة رايقة و الاسعار مناسبة جدا …	3
مطعم رائع و اسعار جيده.	5
جلسه حلوه واركيله طيبه	4
اكثر من رائع	5
ممتاز جدا	4
مكان راقي يمكن اصطحاب العائله والاطفال فيه	4
مكان رووووووعة	4
ممتاز و لا أروع	5
دون المستوى من خلال الطلبات وتقديمها بحيث تنتظر مدة ساعه لتأخذ اذن بالطلب.. وغيرها من الأشياء	1
ممتاز جدا	5
افضل فندق و يوجد فيه مطعم وغرف و مصلى	5
جميل	3
رائع وجميل وعائلي	5
ممتاز وطيب	5
شكرا	5
لحمة مشوية غير ناضجة والحمص غير جيد والفتوش رديئ والبطاطا سيئة لا انصح احد بأكل الطعام الشرقي	1
اروع فنادق بيروت	5
هذا بيتي الثاني	5
مطعم بأجواء تراثية ساحرة	5
تفضل مطعم مطعم الساحة مكان تراثية	5
